#Types Before Cut: 11151
#Types After Cut: 9736
#Search Hits: 0
242	13	34.169	сижу
243	13	34.169	спать
244	13	34.169	твои
245	13	34.169	учились
246	25	34.162	татьяна
247	20	33.444	другому
248	17	33.147	пошла
249	17	33.147	школа
250	15	32.570	будешь
251	15	32.570	понял
252	114	32.454	даже
253	28	32.236	таки
254	24	32.099	принципе
255	34	32.086	голос
256	18	31.964	дом
257	37	31.764	две
258	12	31.541	берег
259	12	31.541	весело
260	12	31.541	детстве
261	12	31.541	женщина
262	12	31.541	квартиру
263	12	31.541	круто
264	12	31.541	любят
265	12	31.541	пятьдесят
266	12	31.541	смешно
267	49	31.356	всегда
268	16	30.748	языке
269	20	30.677	дочка
270	28	30.510	обычно
271	21	30.347	хоть
272	21	30.347	язык
273	14	30.075	домой
274	17	29.652	давайте
275	18	28.952	видео
276	11	28.912	inan
277	11	28.912	давали
278	11	28.912	девочки
279	11	28.912	девяносто
280	11	28.912	здорово
281	11	28.912	знала
282	11	28.912	кадра
283	11	28.912	картинка
284	11	28.912	классно
285	11	28.912	кхм
286	11	28.912	понимаешь
287	11	28.912	расскажу
288	11	28.912	рассказчик
289	11	28.912	смеётся
290	11	28.912	смотри
291	11	28.912	соседка
292	11	28.912	училась
293	11	28.912	холодно
294	158	28.869	или
295	19	28.505	младший
296	26	28.450	самое
297	26	28.450	смысле
298	15	28.362	играть
299	21	28.086	жить
300	13	27.590	концерт
301	13	27.590	семья
302	13	27.590	ходить
303	13	27.590	честно
304	17	26.736	моей
305	18	26.355	понимаю
306	10	26.284	бывают
307	10	26.284	вкус
308	10	26.284	восемьдесят
309	10	26.284	дед
310	10	26.284	дедушка
311	10	26.284	ехать
312	10	26.284	забыл
313	10	26.284	иии
314	10	26.284	кашель
315	10	26.284	нуу
316	10	26.284	озеро
317	10	26.284	пол
318	10	26.284	прикольно
319	10	26.284	ребята
320	10	26.284	своё
321	10	26.284	слушай
322	10	26.284	смешок
323	10	26.284	собака
324	10	26.284	ушёл
325	19	26.140	н
326	19	26.140	слово
327	22	26.106	какую
328	22	26.106	часов
329	14	25.992	смотреть
330	14	25.992	собственно
331	27	25.606	моя
332	12	25.116	вдруг
333	12	25.116	делаю
334	12	25.116	купил
335	12	25.116	мужчина
336	12	25.116	поговорить
337	15	25.083	ж
338	39	24.798	людей
339	147	24.683	был
340	16	24.541	читать
341	50	24.082	день
342	18	24.074	тему
343	20	24.071	места
344	35	23.976	четыре
345	29	23.671	старший
346	9	23.655	n
347	9	23.655	ар
348	9	23.655	видишь
349	9	23.655	грустный
350	9	23.655	двенадцать
351	9	23.655	двести
352	9	23.655	кошки
